Summary,Text,Score
Another stellar weekend vaca!,"Love the Guesthouse - it is our go to spot in Chicago! Rick and the staff always make us feel right at home from the moment we walk in until the minute we check out. Comfy rooms, cozy wonderful beds, all the amenities you need in a nicely stocked kitchen, room to visit and enjoy time with family. We love the convenience and access to the Andersonville and Lincoln Square neighborhoods. There are several great coffee shops, restaurants, and wonderful shops near by and within walking distance. A new add right next door was Pick Me Up Cafe - a nice add to the neighborhood. We look forward to our next visit - it is already in the books!!",5
I finally have a wonderful place to stay that is truly dog friendly!,"I can’t say enough about The Guesthouse. Wonderful staff, beautiful spaces, great sheets and pillows, balcony with a view and my Greyhounds are welcome and comfortable:) I will most definitely be back!",5
Wonderful place to stay,"Great location, suites and staff were wonderful as well! Our dinner event space and coordination with caterer was handled so well by the hotel staff. Perfect! Only place we’ll book for Chicago going forward!",5
Rude staff,Not a welcoming environment or experience! Staff behavior was rude and condescending. Desk staff demanded Identification for everyone in our group; insisting that we couldn’t proceed because our last group member was still bringing in her luggage. Although only one room key was given. Desk staff then proceeded to tell us that we needed to just “drink our wine and relax” for the evening as this is a quite rental. I have never been received like this by any hotel or resort I have ever stayed in. Although our accommodations were acceptable the staff was not!,1
Amazing hotel outside of downtown with all the amenities of home and very friendly staff!,"This place is amazing! Big thank you to Zoe, Paul, and Rick for all of their help during my stay! Very clean, and a home away from home. More like a condo than a hotel! Highly recommended and will definitely stay here again!",5
Absolutely Perfect for Long Term Stay!,"We often travel to Chicago/Andersonville to visit family, and over the years the Guesthouse has become our favorite hotel. In November we needed a place to stay for a full month during the COVID-19 lockdown. The Guesthouse became our oasis from the stresses of quarantining outside our family bubble. When we arrived, our apartment is spotless, as always. We love the spaciousness of the floor plan and the high ceilings. The shower in the master bath was luxurious -- five-star spa quality. The kitchen was fully equipped so that we could comfortably prepare and enjoy great meals for ourselves and also cook for our extended family. The grill on the deck was a bonus. I was able to reserve hour-long workout times in the downstairs exercise room, and I was also able to book the elegant library for Zoom meetings. The apartment is so quiet that you never know you’re in a lively urban setting. We loved having a reserved parking space in the garage, which was even equipped with an EV charger. The staff could not have been more helpful, attended our every need with great cheer. The Guesthouse tagline -- ""Live like a local""-- is spot on, and we hope to return again and again.",5
Perfect stay,Stayed there on a 6 day business trip. The location was perfect for relaxing in a quiet neighborhood after a busy day at the conference center downtown Chicago.,5
The best,Friendly people and more,3
Perfect for a staycation or celebration,"I'm a local Chicagoan and live in the neighborhood so have walked by this property many times. As a former hotel guy, I have always wanted to venture in and check out this property as it looks so nice from the outside. I finally had the perfect opportunity to throw a small engagement party for a couple of friends. Rick, the General Manager, could not have been nicer and the front desk staff was superb throughout the stay. I would highly recommend this to any out-of-town guest but also to any locals who have a good reason to put someone up in a beautiful suite for a night. I cannot wait to plan my next outing here!",5
"We just stayed here for regretfully only 2 nights. The rooms are absolutely amazing with how beautiful and humongous they are at a fantastic price per night. The folks who work there are super friendly and helpful. Had both restaurant food and grocery delivery to there while there without any issues. It's well worth not being right on Michigan Ave. Easy to get to those main areas in minutes whether Uber or similar services, CTA, or walking.",,3
Surprise Oasis in Chicago,We had to go to Chicago this past week and did not want to stay downtown. I found this hotel and was very impressed. We reserved a 3 bedroom suite. It was beautiful. The kitchen is fabulous. The beds were comfy and the bathrooms were great. We were about a 10 minute Uber ride from downtown. The rooftop area at this property has a fabulous view of Chicago and is very comfy. It is nice to be out all day and come home and sit up there with a glass of wine. I was very impressed with the staff too. Our balcony/porch off the living room was perfect for an alfresco dinner. They do have car parking in private garages at the back of the units. Clean and comfortable. The living room and dining areas very very nice and comfy. This would be great for a long term stay and for families! Thank you for a a wonderful stay.,5
A heartfelt thank you to all of the staff at The Guesthouse Hotel for being available during one of the most challenging times of our lives. Your kindness and hospitality will be remembered always.,,3
